,Metabolite,value_type,value,Field,Model
0,Asc,Cohens_d,0.041211103930609644,3T,correct
1,Asp,Cohens_d,0.6555372856460457,3T,correct
2,GABA,Cohens_d,0.2868431662248476,3T,correct
3,GSH,Cohens_d,0.018042726384577955,3T,correct
4,Glc,Cohens_d,0.19520086020453953,3T,correct
5,Gln,Cohens_d,0.2633963275946489,3T,correct
6,Glu,Cohens_d,0.20053858332119268,3T,correct
7,Ins,Cohens_d,0.022546478170728794,3T,correct
8,Lac,Cohens_d,0.25280065817835556,3T,correct
9,PEth,Cohens_d,0.06256677609970132,3T,correct
10,Tau,Cohens_d,0.098429676884663,3T,correct
11,sIns,Cohens_d,0.014644172431779272,3T,correct
12,tNAA,Cohens_d,0.47308845263649696,3T,correct
13,tCr,Cohens_d,0.4032829385333312,3T,correct
14,tCho,Cohens_d,0.09676582979441153,3T,correct
15,Glx,Cohens_d,0.001724906192461851,3T,correct
16,Asc,Cohens_d,0.2108930960285935,7T,correct
17,Asp,Cohens_d,0.5092460772471155,7T,correct
18,GABA,Cohens_d,0.28698663972948857,7T,correct
19,GSH,Cohens_d,0.09049365497884077,7T,correct
20,Glc,Cohens_d,0.08318556056940257,7T,correct
21,Gln,Cohens_d,0.0859968200520281,7T,correct
22,Glu,Cohens_d,0.3099771056998573,7T,correct
23,Ins,Cohens_d,1.8505162905003831,7T,correct
24,Lac,Cohens_d,0.6359394183803548,7T,correct
25,PEth,Cohens_d,0.019311761330699024,7T,correct
26,Tau,Cohens_d,0.37029733966562983,7T,correct
27,sIns,Cohens_d,0.2711295582907122,7T,correct
28,tNAA,Cohens_d,0.5756829236548653,7T,correct
29,tCr,Cohens_d,0.031446514676773174,7T,correct
30,tCho,Cohens_d,0.10843839475736838,7T,correct
31,Glx,Cohens_d,0.1746361936027225,7T,correct
32,Asc,Cohens_d,0.5709971444331224,3T,fixed
33,Asp,Cohens_d,0.9380052510871072,3T,fixed
34,GABA,Cohens_d,3.90953499102779,3T,fixed
35,GSH,Cohens_d,0.4351533548803189,3T,fixed
36,Glc,Cohens_d,2.307605842474774,3T,fixed
37,Gln,Cohens_d,1.7701875018512863,3T,fixed
38,Glu,Cohens_d,4.304736941594749,3T,fixed
39,Ins,Cohens_d,1.5659612806307324,3T,fixed
40,Lac,Cohens_d,0.6296659197909937,3T,fixed
41,PEth,Cohens_d,2.250299523713092,3T,fixed
42,Tau,Cohens_d,0.9592298536471285,3T,fixed
43,sIns,Cohens_d,0.09619865389909064,3T,fixed
44,tNAA,Cohens_d,13.44949962386318,3T,fixed
45,tCr,Cohens_d,9.72532311068895,3T,fixed
46,tCho,Cohens_d,3.1527884462440654,3T,fixed
47,Glx,Cohens_d,3.86262002161573,3T,fixed
48,Asc,Cohens_d,2.4845278895552703,7T,fixed
49,Asp,Cohens_d,1.0511187603610783,7T,fixed
50,GABA,Cohens_d,6.951130491998824,7T,fixed
51,GSH,Cohens_d,1.518585512923256,7T,fixed
52,Glc,Cohens_d,5.166099953203052,7T,fixed
