,field,method,value_type,Metabolite,value
0,3T,basis lw matching,Cohens d,Asc,0.07209271540447065
1,3T,basis lw matching,Cohens d,Asp,0.0770328268432297
2,3T,basis lw matching,Cohens d,GABA,0.0526745197617462
3,3T,basis lw matching,Cohens d,Glc,0.12811660373763104
4,3T,basis lw matching,Cohens d,Gln,0.23031223599956643
5,3T,basis lw matching,Cohens d,Glu,0.347549248489525
6,3T,basis lw matching,Cohens d,GSH,0.1724708629082329
7,3T,basis lw matching,Cohens d,Ins,0.267899175939207
8,3T,basis lw matching,Cohens d,Lac,0.10689277194679021
9,3T,basis lw matching,Cohens d,PEth,0.008268443718239211
10,3T,basis lw matching,Cohens d,sIns,0.06641800746424643
11,3T,basis lw matching,Cohens d,Tau,0.11337712688676042
12,3T,basis lw matching,Cohens d,tCho,0.34680787162329524
13,3T,basis lw matching,Cohens d,tCr,0.4714789469094799
14,3T,basis lw matching,Cohens d,tNAA,0.44904978139278195
15,3T,basis lw matching,Mean,Asc,0.37565095383494806
16,3T,basis lw matching,Mean,Asp,0.16562628853243752
17,3T,basis lw matching,Mean,GABA,-0.30858582385053723
18,3T,basis lw matching,Mean,Glc,-0.83851596054798
19,3T,basis lw matching,Mean,Gln,-0.4380894050037032
20,3T,basis lw matching,Mean,Glu,0.2970288064849678
21,3T,basis lw matching,Mean,GSH,0.5246212175202432
22,3T,basis lw matching,Mean,Ins,0.15435304276230138
23,3T,basis lw matching,Mean,Lac,0.6147919928406678
24,3T,basis lw matching,Mean,PEth,0.04375532159415564
25,3T,basis lw matching,Mean,sIns,0.2580845540989468
26,3T,basis lw matching,Mean,Tau,0.4413151550451083
27,3T,basis lw matching,Mean,tCho,0.9166714007010915
28,3T,basis lw matching,Mean,tCr,0.45564679053243545
29,3T,basis lw matching,Mean,tNAA,0.9103216866177953
30,3T,basis lw matching,SD,Asc,5.210664513430895
31,3T,basis lw matching,SD,Asp,2.1500741348815526
32,3T,basis lw matching,SD,GABA,5.858350968291911
33,3T,basis lw matching,SD,Glc,6.544943716000857
34,3T,basis lw matching,SD,Gln,1.9021542780928404
35,3T,basis lw matching,SD,Glu,0.8546380341084816
36,3T,basis lw matching,SD,GSH,3.0417962122644444
37,3T,basis lw matching,SD,Ins,0.5761609464499732
38,3T,basis lw matching,SD,Lac,5.751483300916763
39,3T,basis lw matching,SD,PEth,5.291844884622793
40,3T,basis lw matching,SD,sIns,3.885761767813897
41,3T,basis lw matching,SD,Tau,3.8924531531469135
42,3T,basis lw matching,SD,tCho,2.6431678047284506
43,3T,basis lw matching,SD,tCr,0.9664202262246843
44,3T,basis lw matching,SD,tNAA,2.027217748095374
45,3T,default analysis,Cohens d,Asc,0.07217757627759987
46,3T,default analysis,Cohens d,Asp,0.07607475082704776
47,3T,default analysis,Cohens d,GABA,0.056837628167590575
48,3T,default analysis,Cohens d,Glc,0.13076614291935196
49,3T,default analysis,Cohens d,Gln,0.2347638136833079
50,3T,default analysis,Cohens d,Glu,0.3496095730449331
51,3T,default analysis,Cohens d,GSH,0.17391489789453657
52,3T,default analysis,Cohens d,Ins,0.26908858609805447
53,3T,default analysis,Cohens d,Lac,0.1070581995246416
54,3T,default analysis,Cohens d,PEth,0.005073884296796898
55,3T,default analysis,Cohens d,sIns,0.06563523970000375
56,3T,default analysis,Cohens d,Tau,0.11522043789556959
57,3T,default analysis,Cohens d,tCho,0.34936608817707043
58,3T,default analysis,Cohens d,tCr,0.4730270841917462
59,3T,default analysis,Cohens d,tNAA,0.45116789477312297
60,3T,default analysis,Mean,Asc,0.3761621102572725
61,3T,default analysis,Mean,Asp,0.1635329544383376
62,3T,default analysis,Mean,GABA,-0.3329266678237487
63,3T,default analysis,Mean,Glc,-0.8564573970791209
64,3T,default analysis,Mean,Gln,-0.4466060814179941
65,3T,default analysis,Mean,Glu,0.2996885649053597
66,3T,default analysis,Mean,GSH,0.5288577158262973
67,3T,default analysis,Mean,Ins,0.15473664782518098
68,3T,default analysis,Mean,Lac,0.6157465534856107
69,3T,default analysis,Mean,PEth,0.026881841994927623
70,3T,default analysis,Mean,sIns,0.2550250110314104
71,3T,default analysis,Mean,Tau,0.44921751900088097
72,3T,default analysis,Mean,tCho,0.9261025898827866
73,3T,default analysis,Mean,tCr,0.45991770155400374
74,3T,default analysis,Mean,tNAA,0.9204597360222381
75,3T,default analysis,SD,Asc,5.211620141005115
76,3T,default analysis,SD,Asp,2.149635097854238
77,3T,default analysis,SD,GABA,5.857504589074092
78,3T,default analysis,SD,Glc,6.549534749276257
79,3T,default analysis,SD,Gln,1.9023633770937867
80,3T,default analysis,SD,Glu,0.857209264309369
81,3T,default analysis,SD,GSH,3.040899441214064
82,3T,default analysis,SD,Ins,0.5750398040621305
83,3T,default analysis,SD,Lac,5.751512319650811
84,3T,default analysis,SD,PEth,5.298079424455523
85,3T,default analysis,SD,sIns,3.8854891396305185
86,3T,default analysis,SD,Tau,3.898765941230242
87,3T,default analysis,SD,tCho,2.6508084820568127
88,3T,default analysis,SD,tCr,0.9722861902080253
89,3T,default analysis,SD,tNAA,2.040171179478775
90,3T,preproc lw matching,Cohens d,Asc,0.07833605256688779
91,3T,preproc lw matching,Cohens d,Asp,0.02531568062324022
92,3T,preproc lw matching,Cohens d,GABA,0.04627862393300224
93,3T,preproc lw matching,Cohens d,Glc,0.039714871006183566
94,3T,preproc lw matching,Cohens d,Gln,0.08563705462792318
95,3T,preproc lw matching,Cohens d,Glu,0.0697951477810837
96,3T,preproc lw matching,Cohens d,GSH,0.03136379951315778
97,3T,preproc lw matching,Cohens d,Ins,0.025513074334446155
98,3T,preproc lw matching,Cohens d,Lac,0.018868732424243827
99,3T,preproc lw matching,Cohens d,PEth,0.08133156927113976
100,3T,preproc lw matching,Cohens d,sIns,0.031397413300039645
101,3T,preproc lw matching,Cohens d,Tau,0.04102450162665475
102,3T,preproc lw matching,Cohens d,tCho,0.037229197007780525
103,3T,preproc lw matching,Cohens d,tCr,0.029124009685663966
104,3T,preproc lw matching,Cohens d,tNAA,0.10894544356348415
105,3T,preproc lw matching,Mean,Asc,0.4268617429062499
106,3T,preproc lw matching,Mean,Asp,0.05689103684616405
107,3T,preproc lw matching,Mean,GABA,0.28803025948528715
108,3T,preproc lw matching,Mean,Glc,-0.27275950061771126
